Município,Microrregião,Estado
Tiros,Patos de Minas,Minas Gerais
São Gotardo,Patos de Minas,Minas Gerais
São Gonçalo do Abaeté,Patos de Minas,Minas Gerais
Rio Paranaíba,Patos de Minas,Minas Gerais
Presidente Olegário,Patos de Minas,Minas Gerais
Patos de Minas,Patos de Minas,Minas Gerais
Paracatu,Patos de Minas,Minas Gerais
Matutina,Patos de Minas,Minas Gerais
Guarda-Mor,Patos de Minas,Minas Gerais
Carmo do Paranaíba,Patos de Minas,Minas Gerais
Brasilândia de Minas,Patos de Minas,Minas Gerais
Arapuá,Patos de Minas,Minas Gerais
Lagoa Grande,Patos de Minas,Minas Gerais
Lagoa Formosa,Patos de Minas,Minas Gerais
Lagamar,Patos de Minas,Minas Gerais
João Pinheiro,Patos de Minas,Minas Gerais
Urucuia,Unaí,Minas Gerais
Uruana de Minas,Unaí,Minas Gerais
Unaí,Unaí,Minas Gerais
Riachinho,Unaí,Minas Gerais
Natalândia,Unaí,Minas Gerais
Formoso,Unaí,Minas Gerais
Dom Bosco,Unaí,Minas Gerais
Cabeceira Grande,Unaí,Minas Gerais
Buritis,Unaí,Minas Gerais
Bonfinópolis de Minas,Unaí,Minas Gerais
Arinos,Unaí,Minas Gerais
Serra do Salitre,Patrocínio,Minas Gerais
Patrocínio,Patrocínio,Minas Gerais
Guimarânia,Patrocínio,Minas Gerais
Cruzeiro da Fortaleza,Patrocínio,Minas Gerais
Coromandel,Patrocínio,Minas Gerais
São Sebastião do Oeste,Divinópolis,Minas Gerais
São Gonçalo do Pará,Divinópolis,Minas Gerais
Santo Antônio do Monte,Divinópolis,Minas Gerais
Pitangui,Divinópolis,Minas Gerais
Perdigão,Divinópolis,Minas Gerais
Pedra do Indaiá,Divinópolis,Minas Gerais
Nova Serrana,Divinópolis,Minas Gerais
Divinópolis,Divinópolis,Minas Gerais
Conceição do Pará,Divinópolis,Minas Gerais
Cláudio,Divinópolis,Minas Gerais
Carmo do Cajuru,Divinópolis,Minas Gerais
Carmo da Mata,Divinópolis,Minas Gerais
Camacho,Divinópolis,Minas Gerais
Araújos,Divinópolis,Minas Gerais
Leandro Ferreira,Divinópolis,Minas Gerais
Lagoa da Prata,Divinópolis,Minas Gerais
Japaraíba,Divinópolis,Minas Gerais
Itaúna,Divinópolis,Minas Gerais
Itatiaiuçu,Divinópolis,Minas Gerais
Itapecerica,Divinópolis,Minas Gerais
Tapiraí,Formiga,Minas Gerais
Pimenta,Formiga,Minas Gerais
Pains,Formiga,Minas Gerais
Medeiros,Formiga,Minas Gerais
Iguatama,Formiga,Minas Gerais
Formiga,Formiga,Minas Gerais
Córrego Fundo,Formiga,Minas Gerais
Córrego Danta,Formiga,Minas Gerais
Bambuí,Formiga,Minas Gerais
Arcos,Formiga,Minas Gerais
Serra da Saudade,Dores do Indaiá,Minas Gerais
Quartel Geral,Dores do Indaiá,Minas Gerais
Pompéu,Dores do Indaiá,Minas Gerais
Moema,Dores do Indaiá,Minas Gerais
Martinho Campos,Dores do Indaiá,Minas Gerais
Estrela do Indaiá,Dores do Indaiá,Minas Gerais
Dores do Indaiá,Dores do Indaiá,Minas Gerais
Bom Despacho,Dores do Indaiá,Minas Gerais
Luz,Dores do Indaiá,Minas Gerais
São José da Varginha,Pará de Minas,Minas Gerais
Pequi,Pará de Minas,Minas Gerais
Pará de Minas,Pará de Minas,Minas Gerais
Papagaios,Pará de Minas,Minas Gerais
Onça de Pitangui,Pará de Minas,Minas Gerais
Maravilhas,Pará de Minas,Minas Gerais
Igaratinga,Pará de Minas,Minas Gerais
São Francisco de Paula,Oliveira,Minas Gerais
Rio Manso,Oliveira,Minas Gerais
Piracema,Oliveira,Minas Gerais
Piedade dos Gerais,Oliveira,Minas Gerais
Passa Tempo,Oliveira,Minas Gerais
Oliveira,Oliveira,Minas Gerais
Crucilândia,Oliveira,Minas Gerais
Carmópolis de Minas,Oliveira,Minas Gerais
Bonfim,Oliveira,Minas Gerais
Itaguara,Oliveira,Minas Gerais
Paineiras,Abaeté,Minas Gerais
Morada Nova de Minas,Abaeté,Minas Gerais
Cedro do Abaeté,Abaeté,Minas Gerais
Biquinhas,Abaeté,Minas Gerais
Abaeté,Abaeté,Minas Gerais
Vitória,Vitória,Espírito Santo
Vila Velha,Vitória,Espírito Santo
Viana,Vitória,Espírito Santo
Serra,Vitória,Espírito Santo
Piúma,Vitória,Espírito Santo
Guarapari,Vitória,Espírito Santo
Fundão,Vitória,Espírito Santo
Cariacica,Vitória,Espírito Santo
Anchieta,Vitória,Espírito Santo
Alfredo Chaves,Vitória,Espírito Santo
Venda Nova do Imigrante,Afonso Cláudio - Venda Nova do Imigrante - Santa Maria de Jetibá,Espírito Santo
Santa Teresa,Afonso Cláudio - Venda Nova do Imigrante - Santa Maria de Jetibá,Espírito Santo
Santa Maria de Jetibá,Afonso Cláudio - Venda Nova do Imigrante - Santa Maria de Jetibá,Espírito Santo
Santa Leopoldina,Afonso Cláudio - Venda Nova do Imigrante - Santa Maria de Jetibá,Espírito Santo
Marechal Floriano,Afonso Cláudio - Venda Nova do Imigrante - Santa Maria de Jetibá,Espírito Santo
Laranja da Terra,Afonso Cláudio - Venda Nova do Imigrante - Santa Maria de Jetibá,Espírito Santo
Itarana,Afonso Cláudio - Venda Nova do Imigrante - Santa Maria de Jetibá,Espírito Santo
Domingos Martins,Afonso Cláudio - Venda Nova do Imigrante - Santa Maria de Jetibá,Espírito Santo
Conceição do Castelo,Afonso Cláudio - Venda Nova do Imigrante - Santa Maria de Jetibá,Espírito Santo
Brejetuba,Afonso Cláudio - Venda Nova do Imigrante - Santa Maria de Jetibá,Espírito Santo
Afonso Cláudio,Afonso Cláudio - Venda Nova do Imigrante - Santa Maria de Jetibá,Espírito Santo
São Mateus,São Mateus,Espírito Santo
Ponto Belo,São Mateus,Espírito Santo
Pinheiros,São Mateus,Espírito Santo
Pedro Canário,São Mateus,Espírito Santo
Mucurici,São Mateus,Espírito Santo
Montanha,São Mateus,Espírito Santo
Jaguaré,São Mateus,Espírito Santo
Conceição da Barra,São Mateus,Espírito Santo
Boa Esperança,São Mateus,Espírito Santo
Sooretama,Linhares,Espírito Santo
Rio Bananal,Linhares,Espírito Santo
Linhares,Linhares,Espírito Santo
João Neiva,Linhares,Espírito Santo
Ibiraçu,Linhares,Espírito Santo
Aracruz,Linhares,Espírito Santo
Vila Valério,Colatina,Espírito Santo
São Roque do Canaã,Colatina,Espírito Santo
São Gabriel da Palha,Colatina,Espírito Santo
São Domingos do Norte,Colatina,Espírito Santo
Pancas,Colatina,Espírito Santo
Marilândia,Colatina,Espírito Santo
Mantenópolis,Colatina,Espírito Santo
Itaguaçu,Colatina,Espírito Santo
Governador Lindenberg,Colatina,Espírito Santo
Colatina,Colatina,Espírito Santo
Baixo Guandu,Colatina,Espírito Santo
Alto Rio Novo,Colatina,Espírito Santo
Águia Branca,Colatina,Espírito Santo
Vila Pavão,Nova Venécia,Espírito Santo
Nova Venécia,Nova Venécia,Espírito Santo
Ecoporanga,Nova Venécia,Espírito Santo
Barra de São Francisco,Nova Venécia,Espírito Santo
Água Doce do Norte,Nova Venécia,Espírito Santo
Vargem Alta,Cachoeiro de Itapemirim,Espírito Santo
Rio Novo do Sul,Cachoeiro de Itapemirim,Espírito Santo
Presidente Kennedy,Cachoeiro de Itapemirim,Espírito Santo
Muqui,Cachoeiro de Itapemirim,Espírito Santo
Mimoso do Sul,Cachoeiro de Itapemirim,Espírito Santo
Marataízes,Cachoeiro de Itapemirim,Espírito Santo
Jerônimo Monteiro,Cachoeiro de Itapemirim,Espírito Santo
Itapemirim,Cachoeiro de Itapemirim,Espírito Santo
Iconha,Cachoeiro de Itapemirim,Espírito Santo
Castelo,Cachoeiro de Itapemirim,Espírito Santo
Cachoeiro de Itapemirim,Cachoeiro de Itapemirim,Espírito Santo
Atilio Vivacqua,Cachoeiro de Itapemirim,Espírito Santo
São José do Calçado,Alegre,Espírito Santo
Muniz Freire,Alegre,Espírito Santo
Iúna,Alegre,Espírito Santo
Irupi,Alegre,Espírito Santo
Ibitirama,Alegre,Espírito Santo
Ibatiba,Alegre,Espírito Santo
Guaçuí,Alegre,Espírito Santo
Dores do Rio Preto,Alegre,Espírito Santo
Divino de São Lourenço,Alegre,Espírito Santo
Bom Jesus do Norte,Alegre,Espírito Santo
Apiacá,Alegre,Espírito Santo
Alegre,Alegre,Espírito Santo
Queimados,Rio de Janeiro,Rio de Janeiro
Paracambi,Rio de Janeiro,Rio de Janeiro
Nova Iguaçu,Rio de Janeiro,Rio de Janeiro
Niterói,Rio de Janeiro,Rio de Janeiro
Nilópolis,Rio de Janeiro,Rio de Janeiro
Mesquita,Rio de Janeiro,Rio de Janeiro
Maricá,Rio de Janeiro,Rio de Janeiro
Mangaratiba,Rio de Janeiro,Rio de Janeiro
Magé,Rio de Janeiro,Rio de Janeiro
Japeri,Rio de Janeiro,Rio de Janeiro
Itaguaí,Rio de Janeiro,Rio de Janeiro
Itaboraí,Rio de Janeiro,Rio de Janeiro
Guapimirim,Rio de Janeiro,Rio de Janeiro
Duque de Caxias,Rio de Janeiro,Rio de Janeiro
Belford Roxo,Rio de Janeiro,Rio de Janeiro
Tanguá,Rio de Janeiro,Rio de Janeiro
Seropédica,Rio de Janeiro,Rio de Janeiro
Saquarema,Rio de Janeiro,Rio de Janeiro
São João de Meriti,Rio de Janeiro,Rio de Janeiro
São Gonçalo,Rio de Janeiro,Rio de Janeiro
Rio de Janeiro,Rio de Janeiro,Rio de Janeiro
Paraty,Angra dos Reis,Rio de Janeiro
Angra dos Reis,Angra dos Reis,Rio de Janeiro
Cachoeiras de Macacu,Rio Bonito,Rio de Janeiro
Silva Jardim,Rio Bonito,Rio de Janeiro
Rio Bonito,Rio Bonito,Rio de Janeiro
Piraí,Volta Redonda - Barra Mansa,Rio de Janeiro
Pinheiral,Volta Redonda - Barra Mansa,Rio de Janeiro
Mendes,Volta Redonda - Barra Mansa,Rio de Janeiro
Engenheiro Paulo de Frontin,Volta Redonda - Barra Mansa,Rio de Janeiro
Barra Mansa,Volta Redonda - Barra Mansa,Rio de Janeiro
Barra do Piraí,Volta Redonda - Barra Mansa,Rio de Janeiro
Volta Redonda,Volta Redonda - Barra Mansa,Rio de Janeiro
Rio Claro,Volta Redonda - Barra Mansa,Rio de Janeiro
Quatis,Resende,Rio de Janeiro
Porto Real,Resende,Rio de Janeiro
Itatiaia,Resende,Rio de Janeiro
Resende,Resende,Rio de Janeiro
Paty do Alferes,Valença,Rio de Janeiro
Miguel Pereira,Valença,Rio de Janeiro
Vassouras,Valença,Rio de Janeiro
Valença,Valença,Rio de Janeiro
Rio das Flores,Valença,Rio de Janeiro
Petrópolis,Petrópolis,Rio de Janeiro
Areal,Petrópolis,Rio de Janeiro
Teresópolis,Petrópolis,Rio de Janeiro
São José do Vale do Rio Preto,Petrópolis,Rio de Janeiro
Nova Friburgo,Nova Friburgo,Rio de Janeiro
Macuco,Nova Friburgo,Rio de Janeiro
Duas Barras,Nova Friburgo,Rio de Janeiro
Cordeiro,Nova Friburgo,Rio de Janeiro
Carmo,Nova Friburgo,Rio de Janeiro
Cantagalo,Nova Friburgo,Rio de Janeiro
Bom Jardim,Nova Friburgo,Rio de Janeiro
Trajano de Moraes,Nova Friburgo,Rio de Janeiro
Sumidouro,Nova Friburgo,Rio de Janeiro
São Sebastião do Alto,Nova Friburgo,Rio de Janeiro
Santa Maria Madalena,Nova Friburgo,Rio de Janeiro
Paraíba do Sul,Três Rios - Paraíba do Sul,Rio de Janeiro
Comendador Levy Gasparian,Três Rios - Paraíba do Sul,Rio de Janeiro
Três Rios,Três Rios - Paraíba do Sul,Rio de Janeiro
Sapucaia,Três Rios - Paraíba do Sul,Rio de Janeiro
Italva,Campos dos Goytacazes,Rio de Janeiro
Cardoso Moreira,Campos dos Goytacazes,Rio de Janeiro
Campos dos Goytacazes,Campos dos Goytacazes,Rio de Janeiro
São João da Barra,Campos dos Goytacazes,Rio de Janeiro
São Fidélis,Campos dos Goytacazes,Rio de Janeiro
São Francisco de Itabapoana,Campos dos Goytacazes,Rio de Janeiro
Porciúncula,Itaperuna,Rio de Janeiro
Natividade,Itaperuna,Rio de Janeiro
Laje do Muriaé,Itaperuna,Rio de Janeiro
Itaperuna,Itaperuna,Rio de Janeiro
Bom Jesus do Itabapoana,Itaperuna,Rio de Janeiro
Varre-Sai,Itaperuna,Rio de Janeiro
São José de Ubá,Itaperuna,Rio de Janeiro
Miracema,Santo Antônio de Pádua,Rio de Janeiro
Itaocara,Santo Antônio de Pádua,Rio de Janeiro
Cambuci,Santo Antônio de Pádua,Rio de Janeiro
Aperibé,Santo Antônio de Pádua,Rio de Janeiro
Santo Antônio de Pádua,Santo Antônio de Pádua,Rio de Janeiro
Iguaba Grande,Cabo Frio,Rio de Janeiro
Cabo Frio,Cabo Frio,Rio de Janeiro
Arraial do Cabo,Cabo Frio,Rio de Janeiro
Armação dos Búzios,Cabo Frio,Rio de Janeiro
Araruama,Cabo Frio,Rio de Janeiro
São Pedro da Aldeia,Cabo Frio,Rio de Janeiro
Quissamã,Macaé - Rio das Ostras,Rio de Janeiro
Macaé,Macaé - Rio das Ostras,Rio de Janeiro
Conceição de Macabu,Macaé - Rio das Ostras,Rio de Janeiro
Casimiro de Abreu,Macaé - Rio das Ostras,Rio de Janeiro
Carapebus,Macaé - Rio das Ostras,Rio de Janeiro
Rio das Ostras,Macaé - Rio das Ostras,Rio de Janeiro
Vargem Grande Paulista,São Paulo,São Paulo
Taboão da Serra,São Paulo,São Paulo
Suzano,São Paulo,São Paulo
São Paulo,São Paulo,São Paulo
São Lourenço da Serra,São Paulo,São Paulo
São Caetano do Sul,São Paulo,São Paulo
São Bernardo do Campo,São Paulo,São Paulo
Santo André,São Paulo,São Paulo
Santana de Parnaíba,São Paulo,São Paulo
Santa Isabel,São Paulo,São Paulo
Salesópolis,São Paulo,São Paulo
Rio Grande da Serra,São Paulo,São Paulo
Ribeirão Pires,São Paulo,São Paulo
Poá,São Paulo,São Paulo
Pirapora do Bom Jesus,São Paulo,São Paulo
Osasco,São Paulo,São Paulo
Mogi das Cruzes,São Paulo,São Paulo
Mauá,São Paulo,São Paulo
Mairiporã,São Paulo,São Paulo
Juquitiba,São Paulo,São Paulo
Jandira,São Paulo,São Paulo
Itaquaquecetuba,São Paulo,São Paulo
Itapevi,São Paulo,São Paulo
Itapecerica da Serra,São Paulo,São Paulo
Guarulhos,São Paulo,São Paulo
Guararema,São Paulo,São Paulo
Franco da Rocha,São Paulo,São Paulo
Francisco Morato,São Paulo,São Paulo
Ferraz de Vasconcelos,São Paulo,São Paulo
Embu-Guaçu,São Paulo,São Paulo
Embu das Artes,São Paulo,São Paulo
Diadema,São Paulo,São Paulo
Cotia,São Paulo,São Paulo
Carapicuíba,São Paulo,São Paulo
Cajamar,São Paulo,São Paulo
Caieiras,São Paulo,São Paulo
Biritiba-Mirim,São Paulo,São Paulo
Barueri,São Paulo,São Paulo
Arujá,São Paulo,São Paulo
São Vicente,Santos,São Paulo
Santos,Santos,São Paulo
Praia Grande,Santos,São Paulo
Peruíbe,Santos,São Paulo
Pedro de Toledo,Santos,São Paulo
Mongaguá,Santos,São Paulo
Itariri,Santos,São Paulo
Itanhaém,Santos,São Paulo
Guarujá,Santos,São Paulo
Cubatão,Santos,São Paulo
Bertioga,Santos,São Paulo
Votorantim,Sorocaba,São Paulo
Tietê,Sorocaba,São Paulo
Tapiraí,Sorocaba,São Paulo
Sorocaba,Sorocaba,São Paulo
Sarapuí,Sorocaba,São Paulo
São Roque,Sorocaba,São Paulo
Salto de Pirapora,Sorocaba,São Paulo
Salto,Sorocaba,São Paulo
Porto Feliz,Sorocaba,São Paulo
Pilar do Sul,Sorocaba,São Paulo
Piedade,Sorocaba,São Paulo
Mairinque,Sorocaba,São Paulo
Jumirim,Sorocaba,São Paulo
Itu,Sorocaba,São Paulo
Iperó,Sorocaba,São Paulo
Ibiúna,Sorocaba,São Paulo
Cerquilho,Sorocaba,São Paulo
Capela do Alto,Sorocaba,São Paulo
Boituva,Sorocaba,São Paulo
Araçoiaba da Serra,Sorocaba,São Paulo
Araçariguama,Sorocaba,São Paulo
Alumínio,Sorocaba,São Paulo
Taquarivaí,Itapeva,São Paulo
Riversul,Itapeva,São Paulo
Ribeirão Grande,Itapeva,São Paulo
Ribeirão Branco,Itapeva,São Paulo
Ribeira,Itapeva,São Paulo
Nova Campina,Itapeva,São Paulo
Itararé,Itapeva,São Paulo
Itaporanga,Itapeva,São Paulo
Itapirapuã Paulista,Itapeva,São Paulo
Itapeva,Itapeva,São Paulo
Itaóca,Itapeva,São Paulo
Itaberá,Itapeva,São Paulo
Guapiara,Itapeva,São Paulo
Capão Bonito,Itapeva,São Paulo
Buri,Itapeva,São Paulo
Bom Sucesso de Itararé,Itapeva,São Paulo
Barra do Chapéu,Itapeva,São Paulo
Barão de Antonina,Itapeva,São Paulo
Apiaí,Itapeva,São Paulo
Sete Barras,Registro,São Paulo
Registro,Registro,São Paulo
Pariquera-Açu,Registro,São Paulo
Miracatu,Registro,São Paulo
Juquiá,Registro,São Paulo
Jacupiranga,Registro,São Paulo
Iporanga,Registro,São Paulo
Ilha Comprida,Registro,São Paulo
Iguape,Registro,São Paulo
Eldorado,Registro,São Paulo
Cananéia,Registro,São Paulo
Cajati,Registro,São Paulo
Barra do Turvo,Registro,São Paulo
São Miguel Arcanjo,Itapetininga,São Paulo
Itapetininga,Itapetininga,São Paulo
Guareí,Itapetininga,São Paulo
Campina do Monte Alegre,Itapetininga,São Paulo
Angatuba,Itapetininga,São Paulo
Alambari,Itapetininga,São Paulo
Taquarituba,Avaré,São Paulo
Taguaí,Avaré,São Paulo
Paranapanema,Avaré,São Paulo
Óleo,Avaré,São Paulo
Manduri,Avaré,São Paulo
Itaí,Avaré,São Paulo
Iaras,Avaré,São Paulo
Coronel Macedo,Avaré,São Paulo
Cerqueira César,Avaré,São Paulo
Avaré,Avaré,São Paulo
Arandu,Avaré,São Paulo
Águas de Santa Bárbara,Avaré,São Paulo
Torre de Pedra,Tatuí,São Paulo
Tatuí,Tatuí,São Paulo
Quadra,Tatuí,São Paulo
Porangaba,Tatuí,São Paulo
Pereiras,Tatuí,São Paulo
Cesário Lange,Tatuí,São Paulo
Ubirajara,Bauru,São Paulo
Reginópolis,Bauru,São Paulo
Presidente Alves,Bauru,São Paulo
Piratininga,Bauru,São Paulo
Pirajuí,Bauru,São Paulo
Pederneiras,Bauru,São Paulo
Paulistânia,Bauru,São Paulo
Macatuba,Bauru,São Paulo
Lucianópolis,Bauru,São Paulo
Lençóis Paulista,Bauru,São Paulo
Iacanga,Bauru,São Paulo
Duartina,Bauru,São Paulo
Cabrália Paulista,Bauru,São Paulo
Borebi,Bauru,São Paulo
Bauru,Bauru,São Paulo
Balbinos,Bauru,São Paulo
Avaí,Bauru,São Paulo
Arealva,Bauru,São Paulo
Agudos,Bauru,São Paulo
Torrinha,Jaú,São Paulo
Mineiros do Tietê,Jaú,São Paulo
Jaú,Jaú,São Paulo
Itapuí,Jaú,São Paulo
Itaju,Jaú,São Paulo
Igaraçu do Tietê,Jaú,São Paulo
Dois Córregos,Jaú,São Paulo
Brotas,Jaú,São Paulo
Boracéia,Jaú,São Paulo
Bocaina,Jaú,São Paulo
Barra Bonita,Jaú,São Paulo
Bariri,Jaú,São Paulo
São Manuel,Botucatu,São Paulo
Pratânia,Botucatu,São Paulo
Pardinho,Botucatu,São Paulo
Itatinga,Botucatu,São Paulo
Conchas,Botucatu,São Paulo
Botucatu,Botucatu,São Paulo
Bofete,Botucatu,São Paulo
Areiópolis,Botucatu,São Paulo
Anhembi,Botucatu,São Paulo
Uru,Lins,São Paulo
Sabino,Lins,São Paulo
Promissão,Lins,São Paulo
Pongaí,Lins,São Paulo
Lins,Lins,São Paulo
Guarantã,Lins,São Paulo
Guaiçara,Lins,São Paulo
Cafelândia,Lins,São Paulo
Vera Cruz,Marília,São Paulo
Quintana,Marília,São Paulo
Pompéia,Marília,São Paulo
Oscar Bressane,Marília,São Paulo
Oriente,Marília,São Paulo
Ocauçu,Marília,São Paulo
Marília,Marília,São Paulo
Lupércio,Marília,São Paulo
Júlio Mesquita,Marília,São Paulo
Guaimbê,Marília,São Paulo
Getulina,Marília,São Paulo
Garça,Marília,São Paulo
Gália,Marília,São Paulo
Fernão,Marília,São Paulo
Echaporã,Marília,São Paulo
Campos Novos Paulista,Marília,São Paulo
Alvinlândia,Marília,São Paulo
Álvaro de Carvalho,Marília,São Paulo
Tarumã,Assis,São Paulo
Platina,Assis,São Paulo
Pedrinhas Paulista,Assis,São Paulo
Paraguaçu Paulista,Assis,São Paulo
Palmital,Assis,São Paulo
Maracaí,Assis,São Paulo
Lutécia,Assis,São Paulo
Florínia,Assis,São Paulo
Cruzália,Assis,São Paulo
Cândido Mota,Assis,São Paulo
Borá,Assis,São Paulo
Assis,Assis,São Paulo
Chavantes,Ourinhos,São Paulo
São Pedro do Turvo,Ourinhos,São Paulo
Santa Cruz do Rio Pardo,Ourinhos,São Paulo
Salto Grande,Ourinhos,São Paulo
Ribeirão do Sul,Ourinhos,São Paulo
Ourinhos,Ourinhos,São Paulo
Ipaussu,Ourinhos,São Paulo
Ibirarema,Ourinhos,São Paulo
Espírito Santo do Turvo,Ourinhos,São Paulo
Canitar,Ourinhos,São Paulo
Bernardino de Campos,Ourinhos,São Paulo
Tupã,Tupã,São Paulo
Rinópolis,Tupã,São Paulo
Queiroz,Tupã,São Paulo
Parapuã,Tupã,São Paulo
Iacri,Tupã,São Paulo
Herculândia,Tupã,São Paulo
Bastos,Tupã,São Paulo
Arco-Íris,Tupã,São Paulo
Timburi,Piraju,São Paulo
Tejupá,Piraju,São Paulo
Sarutaiá,Piraju,São Paulo
Piraju,Piraju,São Paulo
Fartura,Piraju,São Paulo
Teodoro Sampaio,Presidente Prudente,São Paulo
Tarabai,Presidente Prudente,São Paulo
Taciba,Presidente Prudente,São Paulo
Santo Expedito,Presidente Prudente,São Paulo
Santo Anastácio,Presidente Prudente,São Paulo
Sandovalina,Presidente Prudente,São Paulo
Rosana,Presidente Prudente,São Paulo
Ribeirão dos Índios,Presidente Prudente,São Paulo
Regente Feijó,Presidente Prudente,São Paulo
Rancharia,Presidente Prudente,São Paulo
Quatá,Presidente Prudente,São Paulo
Presidente Prudente,Presidente Prudente,São Paulo
Presidente Bernardes,Presidente Prudente,São Paulo
Pirapozinho,Presidente Prudente,São Paulo
Narandiba,Presidente Prudente,São Paulo
Nantes,Presidente Prudente,São Paulo
Mirante do Paranapanema,Presidente Prudente,São Paulo
Martinópolis,Presidente Prudente,São Paulo
João Ramalho,Presidente Prudente,São Paulo
Indiana,Presidente Prudente,São Paulo
Iepê,Presidente Prudente,São Paulo
Euclides da Cunha Paulista,Presidente Prudente,São Paulo
Estrela do Norte,Presidente Prudente,São Paulo
Emilianópolis,Presidente Prudente,São Paulo
Caiabu,Presidente Prudente,São Paulo
Anhumas,Presidente Prudente,São Paulo
Álvares Machado,Presidente Prudente,São Paulo
Alfredo Marcondes,Presidente Prudente,São Paulo
Salmourão,Adamantina - Lucélia,São Paulo
Sagres,Adamantina - Lucélia,São Paulo
Pracinha,Adamantina - Lucélia,São Paulo
Pacaembu,Adamantina - Lucélia,São Paulo
Osvaldo Cruz,Adamantina - Lucélia,São Paulo
Mariápolis,Adamantina - Lucélia,São Paulo
Lucélia,Adamantina - Lucélia,São Paulo
Inúbia Paulista,Adamantina - Lucélia,São Paulo
Flórida Paulista,Adamantina - Lucélia,São Paulo
Adamantina,Adamantina - Lucélia,São Paulo
Tupi Paulista,Dracena,São Paulo
São João do Pau d'Alho,Dracena,São Paulo
Santa Mercedes,Dracena,São Paulo
Paulicéia,Dracena,São Paulo
Panorama,Dracena,São Paulo
Ouro Verde,Dracena,São Paulo
Nova Guataporanga,Dracena,São Paulo
Monte Castelo,Dracena,São Paulo
Junqueirópolis,Dracena,São Paulo
Irapuru,Dracena,São Paulo
Flora Rica,Dracena,São Paulo
Dracena,Dracena,São Paulo
Presidente Venceslau,Presidente Epitácio-Presidente Venceslau,São Paulo
Presidente Epitácio,Presidente Epitácio-Presidente Venceslau,São Paulo
Piquerobi,Presidente Epitácio-Presidente Venceslau,São Paulo
Marabá Paulista,Presidente Epitácio-Presidente Venceslau,São Paulo
Caiuá,Presidente Epitácio-Presidente Venceslau,São Paulo
Valparaíso,Araçatuba,São Paulo
Santo Antônio do Aracanguá,Araçatuba,São Paulo
Rubiácea,Araçatuba,São Paulo
Nova Luzitânia,Araçatuba,São Paulo
Nova Castilho,Araçatuba,São Paulo
Monções,Araçatuba,São Paulo
Magda,Araçatuba,São Paulo
Guzolândia,Araçatuba,São Paulo
Guararapes,Araçatuba,São Paulo
General Salgado,Araçatuba,São Paulo
Gastão Vidigal,Araçatuba,São Paulo
Bento de Abreu,Araçatuba,São Paulo
Auriflama,Araçatuba,São Paulo
Araçatuba,Araçatuba,São Paulo
Zacarias,Birigui - Penápolis,São Paulo
Turiúba,Birigui - Penápolis,São Paulo
Santópolis do Aguapeí,Birigui - Penápolis,São Paulo
Piacatu,Birigui - Penápolis,São Paulo
Penápolis,Birigui - Penápolis,São Paulo
Luiziânia,Birigui - Penápolis,São Paulo
Lourdes,Birigui - Penápolis,São Paulo
Glicério,Birigui - Penápolis,São Paulo
Gabriel Monteiro,Birigui - Penápolis,São Paulo
Coroados,Birigui - Penápolis,São Paulo
Clementina,Birigui - Penápolis,São Paulo
Buritama,Birigui - Penápolis,São Paulo
Brejo Alegre,Birigui - Penápolis,São Paulo
Braúna,Birigui - Penápolis,São Paulo
Birigui,Birigui - Penápolis,São Paulo
Bilac,Birigui - Penápolis,São Paulo
Barbosa,Birigui - Penápolis,São Paulo
Avanhandava,Birigui - Penápolis,São Paulo
Alto Alegre,Birigui - Penápolis,São Paulo
Sud Mennucci,Andradina,São Paulo
Pereira Barreto,Andradina,São Paulo
Nova Independência,Andradina,São Paulo
Murutinga do Sul,Andradina,São Paulo
Mirandópolis,Andradina,São Paulo
Lavínia,Andradina,São Paulo
Itapura,Andradina,São Paulo
Ilha Solteira,Andradina,São Paulo
Guaraçaí,Andradina,São Paulo
Castilho,Andradina,São Paulo
Andradina,Andradina,São Paulo
Urupês,São José do Rio Preto,São Paulo
União Paulista,São José do Rio Preto,São Paulo
Uchoa,São José do Rio Preto,São Paulo
Ubarana,São José do Rio Preto,São Paulo
Tanabi,São José do Rio Preto,São Paulo
São José do Rio Preto,São José do Rio Preto,São Paulo
Sales,São José do Rio Preto,São Paulo
Potirendaba,São José do Rio Preto,São Paulo
Poloni,São José do Rio Preto,São Paulo
Planalto,São José do Rio Preto,São Paulo
Paulo de Faria,São José do Rio Preto,São Paulo
Palestina,São José do Rio Preto,São Paulo
Orindiúva,São José do Rio Preto,São Paulo
Onda Verde,São José do Rio Preto,São Paulo
Novo Horizonte,São José do Rio Preto,São Paulo
Nova Granada,São José do Rio Preto,São Paulo
Nova Aliança,São José do Rio Preto,São Paulo
Nipoã,São José do Rio Preto,São Paulo
Neves Paulista,São José do Rio Preto,São Paulo
Monte Aprazível,São José do Rio Preto,São Paulo
Mirassolândia,São José do Rio Preto,São Paulo
Mirassol,São José do Rio Preto,São Paulo
Mendonça,São José do Rio Preto,São Paulo
Macaubal,São José do Rio Preto,São Paulo
José Bonifácio,São José do Rio Preto,São Paulo
Jaci,São José do Rio Preto,São Paulo
Irapuã,São José do Rio Preto,São Paulo
Ipiguá,São José do Rio Preto,São Paulo
Icém,São José do Rio Preto,São Paulo
Ibirá,São José do Rio Preto,São Paulo
Guapiaçu,São José do Rio Preto,São Paulo
Cedral,São José do Rio Preto,São Paulo
Bálsamo,São José do Rio Preto,São Paulo
